"image","xmin","ymin","xmax","ymax","label"
"0.jpg",136.99720302249295,337.56000366210935,171.5463917525773,371.1600036621094,"ball"
"0.jpg",224.32989690721647,413.3999816894531,270.39549408388,453.71998901367186,"ball"
"0.jpg",391.3177278584817,422.0399963378906,438.3430470946579,466.20001831054685,"ball"
"0.jpg",486.3280517806935,376.91998901367185,524.716055529522,413.3999816894531,"ball"
"0.jpg",552.5473728912839,386.5199890136719,591.8950620899718,424.91998901367185,"ball"
"0.jpg",679.2277559746954,414.36000366210936,718.5754451733833,450.84003295898435,"ball"
"0.jpg",894.2005916119962,429.71998901367186,935.467651710403,471.9600036621094,"ball"
"0.jpg",742.5679475164011,419.1600036621094,786.7141371836925,466.20001831054685,"ball"
"0.jpg",639.8800667760074,394.1999816894531,679.2277559746954,435.4800109863281,"ball"
"10.jpg",726.2530752108715,446.04003295898434,756.9634489222118,473.8799743652343,"ball"
"10.jpg",523.7563700796626,500.76000366210934,564.0637447282099,539.1600036621094,"ball"
"10.jpg",441.22210344423615,496.91998901367185,477.6907362933458,538.2000183105469,"ball"
"10.jpg",180.183707239925,519.0000183105468,228.16871192596062,567.9600036621093,"ball"
"10.jpg",78.45547533973757,506.5199890136719,126.44048002577318,551.6400329589844,"ball"
"10.jpg",791.5126376522961,515.1600036621094,841.4170864573571,560.2799743652344,"ball"
"10.jpg",983.452729615745,412.4399963378906,1009.3646028584817,435.48001098632807,"ball"
"10.jpg",806.8678977272726,410.5199890136719,833.7394564198687,435.4800109863281,"ball"
"10.jpg",1077.5033680880974,415.3199890136719,1108.2137417994377,443.1600036621094,"ball"
"10.jpg",244.48362084114336,489.24003295898433,284.79099548969066,530.5199890136719,"ball"
"10.jpg",323.17899923851917,498.84003295898435,365.40585461574506,542.0400329589844,"ball"
"10.jpg",391.3177278584817,498.84003295898435,436.4236029756326,538.2000183105469,"ball"
"105.jpg",243.52389878163072,490.20001831054685,286.71040299906275,532.4400329589844,"ball"
"105.jpg",528.5548705482661,429.71998901367186,560.2249297094658,458.5199890136719,"ball"
"105.jpg",647.5576235941893,427.7999816894531,675.3889409559513,454.67997436523433,"ball"
"105.jpg",803.0290827085286,476.76000366210934,841.4170864573571,508.4400329589843,"ball"
"105.jpg",798.230582239925,424.91998901367185,826.061899601687,453.71998901367186,"ball"
"105.jpg",1011.2839737582005,564.1199890136719,1068.8659793814434,610.2000183105469,"ball"
"105.jpg",1118.7703549671976,550.8,1166.0356138706654,598.6799743652344,"ball"
"105.jpg",1185.9493615276476,572.7600036621094,1237.773254451734,628.4400329589844,"ball"
"110.jpg",64.0599739339269,325.0800109863281,101.48829223289596,356.76000366210934,"ball"
"110.jpg",234.88661990393626,393.2399963378906,278.0731241213683,429.71998901367186,"ball"
"110.jpg",402.83409969540764,370.1999816894531,444.10123301312086,408.5999816894531,"ball"
"110.jpg",480.56986586223053,433.56000366210935,527.5951118791003,474.84003295898435,"ball"
"110.jpg",986.3318591846297,552.6000183105468,1041.9943474695406,602.5199890136719,"ball"
"0812aa3b644bf7080f128a29ce20d23c7aec726a.jpg",542.9503719540768,250.19998168945312,560.2249297094658,271.3199890136719,"ball"
"0812aa3b644bf7080f128a29ce20d23c7aec726a.jpg",627.4039362699156,253.08001098632812,645.6382526944703,266.5199890136719,"ball"
"0812aa3b644bf7080f128a29ce20d23c7aec726a.jpg",718.5754451733833,252.11998901367187,737.7694470477975,271.3199890136719,"ball"
"0812aa3b644bf7080f128a29ce20d23c7aec726a.jpg",629.3233803889409,349.0800109863281,650.436753163074,368.2800109863281,"ball"
"0812aa3b644bf7080f128a29ce20d23c7aec726a.jpg",773.2783944470477,416.28001098632814,796.3111381208996,440.2799743652344,"ball"
"0812aa3b644bf7080f128a29ce20d23c7aec726a.jpg",626.4442508200561,446.04003295898434,650.436753163074,467.1600036621093,"ball"
"0812aa3b644bf7080f128a29ce20d23c7aec726a.jpg",626.4442508200561,519.9600036621093,651.3964386129334,540.1199890136718,"ball"
"0812aa3b644bf7080f128a29ce20d23c7aec726a.jpg",738.7291324976569,511.31998901367183,764.6410789597,536.2799743652344,"ball"
"0812aa3b644bf7080f128a29ce20d23c7aec726a.jpg",595.733877108716,471.00001831054686,616.847249882849,491.1600036621094,"ball"
"1.jpg",136.99720302249295,334.6800109863281,173.46579926194937,372.11998901367184,"ball"
"1.jpg",225.28961896672914,410.5199890136719,271.3552161433927,452.7600036621094,"ball"
"1.jpg",393.23709875820055,422.99998168945314,440.26241799437673,468.1199890136719,"ball"
"1.jpg",485.3683663308341,375.9600036621094,524.716055529522,411.4800109863281,"ball"
"1.jpg",554.4667437910027,384.5999816894531,591.8950620899718,422.9999816894531,"ball"
"1.jpg",639.8800667760074,396.11998901367184,679.2277559746954,433.56000366210935,"ball"
"1.jpg",745.4470770852857,422.0399963378906,782.8753953842548,464.27997436523435,"ball"
"1.jpg",677.3083850749765,414.36000366210936,720.4948892924085,452.76000366210934,"ball"
"1.jpg",892.2811474929708,430.6800109863281,935.4676517104028,474.84003295898435,"ball"
"100.jpg",497.84442361761944,361.56000366210935,522.7966114104967,384.5999816894531,"ball"
"100.jpg",627.4039362699156,360.5999816894531,655.2352536316776,387.4800109863281,"ball"
"100.jpg",762.7216348406747,357.71998901367186,788.6335813027179,381.71998901367186,"ball"
"100.jpg",766.5604498594189,398.0399963378906,798.230582239925,429.71998901367186,"ball"
"100.jpg",948.9034676663542,474.84003295898435,995.9288601218369,519.0000183105468,"ball"
"100.jpg",1043.9138648078724,459.47997436523434,1085.1808516869728,507.47997436523434,"ball"
"100.jpg",1142.7628573102154,503.64003295898436,1193.6269915651358,552.6000183105468,"ball"
"100.jpg",1210.9016225398311,484.4400329589844,1259.8463858950327,536.2799743652344,"ball"
"100.jpg",1100.5361117619493,480.60001831054683,1145.6419868791002,526.6799743652343,"ball"
"101.jpg",391.3177278584817,427.7999816894531,429.7057316073102,463.31998901367183,"ball"
"101.jpg",626.4442508200561,361.56000366210935,654.2755681818181,387.4800109863281,"ball"
"101.jpg",524.716055529522,363.4800109863281,546.7891137535145,385.56000366210935,"ball"
"101.jpg",762.7216348406747,358.6800109863281,788.6335813027179,381.71998901367186,"ball"
"101.jpg",764.6410789597,400.91998901367185,798.230582239925,429.71998901367186,"ball"
"101.jpg",949.8631531162137,476.76000366210934,996.8884723523898,519.0000183105468,"ball"
"101.jpg",1100.5361117619493,481.56000366210935,1144.6823746485472,528.6000183105468,"ball"
"101.jpg",1142.7628573102154,501.71998901367186,1190.747861996251,556.4400329589844,"ball"
"101.jpg",1209.2221180880974,489.24003295898433,1262.7253690253046,532.8,"ball"
"101.jpg",1041.0347352389877,463.31998901367183,1083.2614807872537,509.40001831054684,"ball"
"102.jpg",630.2830658388003,363.4800109863281,653.3158827319587,386.5199890136719,"ball"
"102.jpg",523.0365510777881,363.2399963378906,549.9081829896907,386.2800109863281,"ball"
"102.jpg",767.5201353092783,398.0399963378906,798.230582239925,430.6800109863281,"ball"
"102.jpg",762.7216348406747,355.7999816894531,787.6738958528584,381.71998901367186,"ball"
"102.jpg",947.9437822164948,473.8799743652344,997.8482310215558,517.0799743652344,"ball"
"102.jpg",1041.9943474695408,464.4,1083.261480787254,503.64003295898436,"ball"
"102.jpg",1140.8434864104966,502.67997436523433,1191.707620665417,552.6000183105468,"ball"
"102.jpg",1209.9418638706654,486.36000366210936,1256.9672563261481,532.4400329589844,"ball"
"103.jpg",633.1621221883786,370.1999816894531,661.953125,393.2399963378906,"ball"
"103.jpg",387.4789128397376,499.8000183105469,438.3430470946579,548.7600036621094,"ball"
"103.jpg",770.399264878163,403.7999816894531,806.8678977272726,440.27997436523435,"ball"
"103.jpg",768.4798939784442,369.2399963378906,794.3917672211809,391.31998901367183,"ball"
"103.jpg",959.4601540534208,484.4400329589844,1000.7273605904404,525.7199890136719,"ball"
"103.jpg",1047.75260660731,470.04003295898434,1090.939110824742,514.2000183105469,"ball"
"103.jpg",1106.2943708997188,491.1600036621094,1153.3196169165885,539.1600036621094,"ball"
"103.jpg",1150.6805002343017,508.91998901367185,1197.7057462511714,559.8000183105469,"ball"
"103.jpg",1216.6598816776007,495.00001831054686,1269.4433868322399,542.0400329589844,"ball"
